,lit_type,author,title,POS_all,count,proportion
0,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",'',493,0.00921753762737216
1,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",NNS,1097,0.020510423483219593
2,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",.,1971,0.03685145367860148
3,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",#,4,7.47873235486585e-05
4,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",RBR,53,0.000990932037019725
5,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",TO,848,0.0158549125923156
6,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",WRB,120,0.002243619706459755
7,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",``,455,0.008507058053659904
8,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",RB,1629,0.030457137515191177
9,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",RBS,22,0.0004113302795176218
10,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",CD,1359,0.025408993175656727
11,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",VBP,819,0.015312704496587828
12,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",PRP$,922,0.017238478077965785
13,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",NN,9887,0.18485556698139666
14,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",POS,73,0.0013648686547630177
15,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",PRP,1958,0.03660839487706834
16,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",EX,45,0.0008413573899224082
17,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",),177,0.003309339067028139
18,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",WP,76,0.0014209591474245115
19,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",WDT,205,0.0038328503318687483
20,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",CC,1954,0.03653360755351968
