,lit_type,author,title,POS_word,count,proportion
0,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",NNS,1097,0.024686635011364404
1,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",RBR,53,0.001192699777212683
2,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",TO,848,0.01908319643540293
3,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",WRB,120,0.0027004523257645654
4,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",RB,1629,0.03665864032225398
5,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",RBS,22,0.0004950829263901704
6,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",CD,1359,0.030582622589283705
7,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",VBP,819,0.01843058712334316
8,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",PRP$,922,0.020748475369624413
9,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",NN,9887,0.22249476787361883
10,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",POS,73,0.0016427751648401107
11,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",PRP,1958,0.04406238044872516
12,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",EX,45,0.001012669622161712
13,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",WP,76,0.0017102864729842248
14,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",WDT,205,0.004613272723181133
15,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",CC,1954,0.043972365371199675
16,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",VBZ,1450,0.032630465602988504
17,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",VB,1515,0.03409321061277764
18,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",JJR,78,0.0017552940117469677
19,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",RP,69,0.0015527600873146252
20,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",JJ,3814,0.08582937642055044
21,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",VBN,587,0.013209712626865
22,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",MD,253,0.005693453653486959
23,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",JJS,138,0.0031055201746292504
24,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",IN,4121,0.09273803362063146
25,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",WP$,3,6.751130814411415e-05
26,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",FW,79,0.001777797781128339
27,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",VBG,129,0.002902986250196908
28,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",NNPS,3,6.751130814411415e-05
29,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",UH,2,4.500753876274276e-05
30,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",DT,3605,0.08112608861984383
31,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",VBD,1485,0.033418097531336496
32,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",NNP,5978,0.13452753336183812
33,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",PDT,61,0.0013727299322636541
0,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",NNS,524,0.02781316348195329
1,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",RBR,52,0.002760084925690021
2,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",TO,383,0.02032908704883227
3,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",WRB,125,0.006634819532908705
4,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",RB,966,0.051273885350318474
5,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",RBS,6,0.0003184713375796178
6,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",CD,193,0.01024416135881104
7,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",VBP,478,0.02537154989384289
8,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",PRP$,445,0.02361995753715499
9,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",NN,3334,0.17696390658174097
10,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",POS,142,0.007537154989384289
11,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",PRP,1171,0.06215498938428875
12,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",EX,46,0.0024416135881104033
13,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",WP,223,0.01183651804670913
14,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",WDT,98,0.005201698513800424
15,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",CC,835,0.044320594479830146
16,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",VBZ,522,0.027707006369426752
17,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",VB,841,0.044639065817409763
18,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",RP,39,0.002070063694267516
19,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",JJR,52,0.002760084925690021
20,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",JJ,1352,0.07176220806794055
21,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",VBN,324,0.017197452229299363
22,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",MD,278,0.01475583864118896
23,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",JJS,57,0.0030254777070063696
24,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",IN,1896,0.10063694267515924
25,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",WP$,16,0.0008492569002123143
26,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",FW,5,0.0002653927813163482
27,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",VBG,152,0.008067940552016985
28,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",NNPS,1,5.307855626326964e-05
29,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",UH,35,0.0018577494692144374
30,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",DT,1481,0.07860934182590233
31,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",VBD,620,0.032908704883227176
32,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",NNP,2108,0.1118895966029724
33,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",PDT,40,0.0021231422505307855
0,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",NNS,2725,0.03251867586338576
1,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",RBR,101,0.0012052793622759493
2,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",WRB,774,0.0092364972911048
3,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",TO,2010,0.023986252655194634
4,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",RB,5703,0.06805651686197761
5,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",RBS,23,0.00027446955774600824
6,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",CD,509,0.0060741306475094875
7,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",VBP,1565,0.018675863385760997
8,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",PRP$,1876,0.022387169144848326
9,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",NN,9725,0.11605288909043175
10,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",POS,918,0.01095491539177546
11,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",PRP,9850,0.11754457146948614
12,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",EX,368,0.004391512923936132
13,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",WP,446,0.005322322728466073
14,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",WDT,233,0.002780495954557388
15,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",VBZ,1509,0.01800758967994463
16,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",CC,3946,0.04708942934198907
17,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",VB,3905,0.046600157521659226
18,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",RP,640,0.007637413780758491
19,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",JJR,198,0.0023628248884221582
20,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",JJ,5136,0.061290245590586885
21,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",VBN,1917,0.022876440965178168
22,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",MD,1496,0.01785245471252297
23,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",JJS,118,0.0014081481658273468
24,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",IN,8471,0.10108833146375809
25,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",WP$,13,0.00015513496742165683
26,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",FW,11,0.00013126804935678657
27,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",VBG,1435,0.01712451371154443
28,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",NNPS,5,5.966729516217571e-05
29,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",UH,85,0.001014344017756987
30,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",DT,6511,0.0776987517601852
31,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",VBD,7828,0.0934151173059023
32,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",NNP,3658,0.04365259314064775
33,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",PDT,90,0.0010740113129191627
0,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",NNS,10,0.009017132551848512
1,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",TO,21,0.018935978358881875
2,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",WRB,11,0.009918845807033363
3,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",RB,52,0.046889089269612265
4,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",CD,9,0.008115419296663661
5,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",PRP$,12,0.010820559062218215
6,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",VBP,7,0.0063119927862939585
