lit_type,var_placeholder,count,proportion
Book,CC,17328,0.043132696266462885
Book,CD,3704,0.009219962313652961
Book,DT,34858,0.08676820905219086
Book,EX,1020,0.002538974503219768
Book,FW,233,0.0005799814306374568
Book,IN,42767,0.1064552182149018
Book,JJ,26318,0.06551052056444888
Book,JJR,997,0.002481723117362852
Book,JJS,765,0.0019042308774148262
Book,MD,6494,0.016164804337165856
Book,NN,58815,0.1464017503988928
Book,NNP,24676,0.06142326945240294
Book,NNPS,52,0.00012943791585041955
Book,NNS,13224,0.03291705767703747
Book,PDT,584,0.0014536873626277889
Book,POS,2777,0.0069124825445502905
Book,PRP,38558,0.0959782146030861
Book,PRP$,10996,0.027371140820984872
Book,RB,23683,0.058951503097797814
Book,RBR,583,0.0014511981719383578
Book,RBS,160,0.0003982705103089832
Book,RP,1955,0.0048663677978378886
Book,TO,9620,0.023946014432327616
Book,UH,675,0.001680203715366023
Book,VB,17909,0.04457891605702238
Book,VBD,25716,0.06401202776941133
Book,VBG,4902,0.012202012759591475
Book,VBN,8548,0.02127760201325743
Book,VBP,9027,0.022469924353494947
Book,VBZ,7903,0.01967207401857434
Book,WDT,1769,0.004403378329603696
Book,WP,2412,0.006003927942907922
Book,WP$,80,0.0001991352551544916
Book,WRB,2629,0.006544082322514481
Fanfiction,CC,38785,0.03464431184793483
Fanfiction,CD,5834,0.005211161926539946
Fanfiction,DT,93545,0.08355813205659568
Fanfiction,EX,2315,0.0020678505073602974
Fanfiction,FW,163,0.0001455981134772045
Fanfiction,IN,119241,0.106510826068315
Fanfiction,JJ,60642,0.05416785765327998
Fanfiction,JJR,3317,0.0029628769472631127
Fanfiction,JJS,1935,0.0017284193225668143
Fanfiction,LS,6,5.359439759897099e-06
Fanfiction,MD,16004,0.014295412319565529
Fanfiction,NN,145720,0.13016292696870088
Fanfiction,NNP,65594,0.05859118193511505
Fanfiction,NNPS,203,0.00018132771187651852
Fanfiction,NNS,40836,0.03647634700585965
Fanfiction,PDT,941,0.0008405388023438616
Fanfiction,POS,8626,0.007705087894812062
Fanfiction,PRP,104211,0.09308542946977276
Fanfiction,PRP$,35635,0.03183060597398885
Fanfiction,RB,85424,0.07630413034157496
Fanfiction,RBR,1897,0.001694476204087466
Fanfiction,RBS,278,0.00024832070887523223
Fanfiction,RP,10227,0.009135165070744605
Fanfiction,SYM,31,2.7690438759468344e-05
Fanfiction,TO,30534,0.027274188938116336
Fanfiction,UH,2027,0.0018105973988852366
Fanfiction,VB,50110,0.0447602543947406
Fanfiction,VBD,59874,0.05348184936401315
Fanfiction,VBG,34698,0.030993640131484923
Fanfiction,VBN,18996,0.016967986279834216
Fanfiction,VBP,23457,0.02095272974131771
Fanfiction,VBZ,41777,0.03731688580820352
Fanfiction,WDT,3379,0.0030182578247820494
Fanfiction,WP,5590,0.00499321137630413
Fanfiction,WP$,37,3.3049878519365445e-05
Fanfiction,WRB,7631,0.006816314134629127
