Title,Author,Notes
An Unexpected Addition,karategal,The Hobbit
Back From the Future: Episode VI The Clone Wars,Ariel_Sojourner,Star Wars Prequel Trilogy
Blue,blacklipscurse (bealeciphers),Avatar: The Last Airbender
"drop dead, gorgeous",thewunderkind,My Hero Academia
Fly a Little Faster,mirrorkill,Teen Wolf
I'd forgotten people are kind,BialyLis,Minecraft & Video Blogging RPF
Kiss a Boy in Tokyo Town,antistar_e (kaikamahine),Percy Jackson and the Olympians
That Awkward Moment When Your Whole Class Shows Up At Your House,MurdockSchmurdock,MCU (Spiderman/Ironman)
The Hour of the Wolf,Suaine,Teen Wolf
The Marks We Make,wittyy_name,Voltron
"
Aurora Leigh
","Browning, Elizabeth Barrett, 1806-1861",Poetry/Novel
"
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
","Sophocles, 495? BCE-406 BCE","Tragic Play, translated from Greek"
"
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
","Morris, Richard, 1833-1894",Chivalric Romance
"
Struwwelpeter: Merry Stories and Funny Pictures
","Hoffmann, Heinrich, 1809-1894",Children's short stories
"
The Big Trip Up Yonder
","Vonnegut, Kurt, 1922-2007",Sci-Fi short story
"
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
","Leblanc, Maurice, 1864-1941","Crime novel, short story compilation"
"
The Painted Veil
","Maugham, W. Somerset (William Somerset), 1874-1965",Romance/Drama
"
The Secret Garden
","Burnett, Frances Hodgson, 1849-1924",Children's novel
"
The Story of the Three Little Pigs
","Brooke, L. Leslie (Leonard Leslie), 1862-1940",Children's short stories
"
The Way of the World
","Congreve, William, 1670-1729",Comedic Play
