lit_type,min_cl,max_cl,ave_cl,var_cl,ave_dl,ave_ds,ave_wsr,prp_dpara,bookid
fanfiction,2,35,5.776923077,24.21946746,17.00369458,1.29679803,13.38784893,1,1
fanfiction,2,12,3.058426966,2.04153011,8.349514563,1.308914387,6.409385113,1,2
fanfiction,2,57,7.003838772,40.13818104,10.36797318,1.228210418,8.199546588,1,3
fanfiction,2,16,4.849315068,11.7718146,17.2970297,1.376237624,12.52863036,1,4
fanfiction,2,26,5.25,15.51644737,16.73502304,1.464285714,11.33246928,1,5
fanfiction,2,14,2.677664975,1.325034142,12.81648299,1.492573071,7.795743491,1,6
fanfiction,2,31,5.352024922,18.73277627,20.42198953,1.540314136,12.88835079,1,7
fanfiction,2,26,5.826446281,20.09384605,11.58638743,1.527486911,7.316644852,1,8
fanfiction,2,45,6.139344262,33.69779629,10.85905849,1.545791726,6.284469805,1,9
fanfiction,2,38,5.445945946,18.83266374,21.44752624,1.434782609,14.74571464,1,10
book,2,13,2.491525424,2.758402758,60.2,2.463157895,28.00675173,1,11
book,2,3,2.666666667,0.222222222,13.08695652,1.782608696,9.676086957,1,12
book,2,21,3.69047619,5.220521542,22.40212766,1.631914894,13.1795452,1,13
book,2,4,2.875,0.609375,12.19230769,1.269230769,10.01923077,1,14
book,2,18,3.289115646,3.736140034,19.52857143,1.129411765,17.40070028,1,15
book,2,29,5.896551724,22.33905215,16.77559913,1.097312999,15.49927378,1,16
book,0,0,0,0,0,0,0,,17
book,2,3,2.2,0.16,14.86363636,1.318181818,12.77272727,1,18
book,2,9,4.416666667,5.076388889,19.4516129,1.612903226,12.44623656,1,19
book,1,1,1,0,2,2,1,1,20
